cultivo,lluvia,inundacion,granizada,sequia,vientos,incendio,deslizamiento_tierra,plagas,quimicos,mano_obra,maquinaria,comercializacion,precios_bajos
11235,0,0,1,0,0,0,0,0,0,0,0,0,0
11236,0,0,0,0,0,1,0,0,0,0,0,0,0
11237,0,1,0,0,0,0,0,1,0,0,0,0,0
11238,0,0,0,0,0,0,0,0,1,0,0,0,0
11239,0,0,0,0,0,0,0,0,0,0,1,0,0
11240,0,0,1,0,0,0,0,0,0,0,0,0,0
11241,0,0,0,0,0,0,0,0,0,0,0,0,0
11242,0,0,0,0,1,0,1,0,0,0,1,0,0
11243,0,0,0,0,0,0,0,0,0,1,0,0,1
11244,0,0,0,0,0,0,0,0,0,0,0,0,0
11245,0,0,0,0,1,0,0,0,0,0,0,1,0
11246,0,0,0,0,0,0,0,0,0,0,0,0,0
11247,0,0,0,0,0,0,0,0,0,0,0,1,0
11248,0,0,0,0,0,0,0,0,0,0,0,0,0
11249,1,0,0,0,0,0,0,0,0,0,1,0,0
11250,0,0,0,0,0,1,0,0,0,0,0,0,1
11251,0,0,0,0,0,0,0,0,0,0,0,0,0
11252,0,0,0,0,0,0,0,0,0,0,0,0,0
11253,0,0,0,0,0,0,0,1,0,0,0,0,0
11254,0,0,0,0,0,0,0,0,0,0,0,0,0
11255,0,0,0,0,0,0,0,0,0,0,0,0,0
11256,0,0,0,0,0,0,0,0,0,0,0,0,0
11257,0,0,0,0,0,0,0,0,1,0,0,0,0
11258,0,0,0,0,0,0,0,0,0,0,0,0,0
11259,0,0,0,0,0,0,0,0,0,0,1,0,0
11260,0,0,1,0,0,0,0,0,0,0,0,1,0
11261,1,0,0,0,0,0,0,0,0,0,0,0,0
11262,0,0,0,0,1,0,0,0,0,0,0,0,0
11263,0,0,0,0,0,0,0,0,0,0,0,0,0
11264,0,0,0,0,0,0,0,0,1,0,0,0,0
11265,1,0,0,0,1,0,0,0,0,0,0,0,0
11266,0,0,0,0,0,0,1,0,0,0,0,0,1
11267,0,0,1,0,0,0,0,1,0,0,0,0,0
11268,0,0,0,0,0,0,0,0,0,0,0,0,0
